DATE,Team,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
26-Jun,Sea,vs OAK,W 3-2,3,1,2,0,0,0,0,1,0,0,0
27-Jun,Sea,vs OAK,L 2-1,5,0,1,0,0,0,0,0,3,0,0
28-Jun,Sea,vs BOS,W 1-0,4,0,0,0,0,0,0,0,1,0,0
29-Jun,Sea,vs BOS,L 5-0,4,0,1,0,0,0,0,0,0,0,0
30-Jun,Sea,vs BOS,W 3-2,5,1,2,0,0,0,0,0,0,1,0
1-Jul,Sea,vs BOS,L 2-1,4,0,0,0,0,0,1,0,0,0,0
2-Jul,Sea,vs BAL,W 6-3,3,1,0,0,0,0,0,1,2,0,0
3-Jul,Sea,vs BAL,L 5-4,4,0,0,0,0,0,0,0,1,0,0
4-Jul,Sea,vs BAL,L 4-2,4,0,0,0,0,0,0,0,1,0,0
6-Jul,Sea,@ OAK,L 4-1,5,0,0,0,0,0,0,0,1,0,0
7-Jul,Sea,@ OAK,W 7-1,5,1,2,0,0,0,0,0,1,1,0
8-Jul,Sea,@ OAK,L 2-1,6,0,2,0,0,0,0,0,0,0,0
13-Jul,Sea,vs TEX,L 3-2,4,0,1,0,0,0,0,0,0,1,0
14-Jul,Sea,vs TEX,W 7-0,5,1,1,0,0,0,0,0,1,0,0
15-Jul,Sea,vs TEX,L 4-0,3,0,0,0,0,0,0,1,0,0,0
16-Jul,Sea,@ KC,W 9-4,5,1,2,0,1,0,1,0,0,0,0
17-Jul,Sea,@ KC,W 9-6,5,1,1,0,0,0,0,0,1,0,0
18-Jul,Sea,@ KC,L 8-7,5,2,3,0,0,0,0,0,1,0,0
19-Jul,Sea,@ KC,W 6-1,5,1,2,1,0,0,0,0,0,0,0
20-Jul,Sea,@ TB,L 4-3,6,1,1,0,1,0,0,0,1,0,0
21-Jul,Sea,@ TB,W 2-1,4,0,1,0,0,0,0,1,2,0,0
22-Jul,Sea,@ TB,W 2-1,4,1,0,0,0,0,0,0,0,2,0
23-Jul,NY,@ SEA,W 4-1,4,0,1,0,0,0,0,0,0,1,0
24-Jul,NY,@ SEA,L 4-2,3,0,1,1,0,0,0,0,0,0,0
25-Jul,NY,@ SEA,W 5-2,5,0,1,0,0,0,0,0,0,0,1
27-Jul,NY,vs BOS,W 10-3,4,2,1,0,0,0,0,0,0,0,0
28-Jul,NY,vs BOS,L 8-6,3,0,1,0,0,0,0,0,0,0,0
29-Jul,NY,vs BOS,L 3-2,4,0,1,0,0,0,0,0,0,1,0
30-Jul,NY,vs BAL,L 5-4,4,1,1,0,0,1,1,0,0,1,0
31-Jul,NY,vs BAL,L 11-5,4,0,1,0,0,0,1,0,0,0,0
1-Aug,NY,vs BAL,W 12-3,5,0,1,0,0,0,0,0,0,0,0
3-Aug,NY,vs SEA,W 6-3,4,1,1,0,0,0,0,0,0,0,0
