"Name","Team","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","playerid"
"Alex Cintron","WSN","SS","15.0"," ","0"," ","0","-1","-1","4","2",".500","1"," "," ","-2.0"," "," "," ","-0.9","-0.2","-1.1","-80.6","50"
"Brandon Wood","LAA","SS","31.0"," ","0"," ","0","-2","-2","11","6",".546","1"," "," ","-1.1","-1"," ","0.1","0.3","-1.5","-1.1","-45.2","6592"
"Josh Wilson","- - -","SS","443.1"," ","0"," ","-1","-3","-4","135","102",".756","10"," "," ","3.9","-2"," ","0.0","-0.4","-0.8","-1.1","-3.5","2102"
"Brian Bixler","PIT","SS","77.0"," ","-1"," ","0","-1","-2","20","15",".750","6"," "," ","-1.9","-1"," ","-0.5","0.3","-0.9","-1.2","-18.8","8055"
"Reid Brignac","TBR","SS","211.2"," ","-1"," ","2","0","1","62","46",".742","8"," "," ","2.1","0"," ","-1.0","-0.5","0.2","-1.2","-7.8","8380"
"Luis Rodriguez","SDP","SS","263.2"," ","1"," ","1","-1","1","76","58",".763","8"," "," ","-1.9","-3"," ","0.4","-1.8","0.2","-1.3","-7.2","2364"
"Alcides Escobar","MIL","SS","300.0"," ","-1"," ","-1","0","-2","96","77",".802","10"," "," ","3.5","3"," ","0.0","0.5","-1.9","-1.4","-6.2","6310"
"Aaron Miles","CHC","SS","44.0"," ","0"," ","0","-2","-2","12","10",".833","0"," "," ","-0.6","-1"," ","-0.2","-1.7","0.4","-1.5","-42.6","1844"
"Eric Bruntlett","PHI","SS","75.0"," ","-1"," ","0","-2","-3","19","14",".737","3"," "," ","-2.9","-1"," ","-0.6","-1.0","-0.2","-1.7","-35.9","1753"
"Alex Cora","NYM","SS","466.1"," ","1"," ","0","1","2","132","97",".735","18"," "," ","-5.0","-5"," ","0.0","-1.3","-0.4","-1.8","-5.4","1386"
"Anderson Hernandez","NYM","SS","289.2"," ","-1"," ","0","-1","-2","91","69",".758","11"," "," ","-5.5","-1"," ","-0.1","-0.4","-1.2","-1.8","-8.1","3366"
"Mike Aviles","KCR","SS","269.1"," ","1"," ","-1","-1","-1","87","69",".793","10"," "," ","-2.9","-3"," ","0.6","-2.4","0.0","-1.8","-8.4","5986"
"Luis Valbuena","CLE","SS","205.0"," ","0"," ","-1","-1","-2","78","60",".769","9"," "," ","-4.9","-1"," ","-0.5","0.4","-1.6","-1.8","-13.5","4969"
"Diory Hernandez","ATL","SS","181.0"," ","1"," ","-1","-1","-1","56","43",".768","8"," "," ","2.0","-2"," ","0.4","-3.2","0.9","-2.0","-14.2","4950"
"Ramon Vazquez","PIT","SS","189.2"," ","0"," ","0","-1","-1","46","37",".804","8"," "," ","-5.6","-2"," ","-0.7","-2.0","0.7","-2.1","-14.3","1058"
"Willie Bloomquist","KCR","SS","237.2"," ","0"," ","-1","-3","-4","77","61",".792","8"," "," ","-6.3","-3"," ","-0.2","-0.1","-1.8","-2.2","-11.0","1066"
"Juan Castro","LAD","SS","170.0"," ","0"," ","0","-1","-1","37","27",".730","6"," "," ","-0.2","0"," ","0.3","-3.0","0.3","-2.4","-24.3","315"
"Ramon Martinez","NYM","SS","81.1"," ","0"," ","1","-2","-1","26","19",".731","3"," "," ","-2.8","-2"," ","0.0","-0.7","-1.9","-2.6","-43.2","1120"
"Tony Pena","KCR","SS","166.0"," ","-1"," ","-2","-2","-5","49","36",".735","5"," "," ","-2.2","-2"," ","-0.6","-0.6","-1.5","-2.7","-22.5","2240"
"Juan Uribe","SFG","SS","318.2"," ","0"," ","0","2","2","92","72",".783","8"," "," ","0.6","-3"," ","-0.1","-2.3","-0.4","-2.8","-12.0","454"
"Jayson Nix","CHW","SS","111.0"," ","0"," ","0","0","0","34","23",".677","6"," "," ","-1.8","-1"," ","0.3","-0.6","-3.1","-3.3","-40.0","3790"
"Alberto Gonzalez","WSN","SS","279.1"," ","0"," ","1","0","1","79","58",".734","15"," "," ","-2.6","-2"," ","-0.2","0.1","-3.4","-3.6","-16.5","4906"
"Chris Burke","SDP","SS","184.1"," ","0"," ","0","-3","-3","57","40",".702","7"," "," ","-4.2","-2"," ","-0.2","-1.3","-2.1","-3.6","-26.6","2164"
"Cristian Guzman","WSN","SS","993.2"," ","0"," ","-1","-1","-2","340","267",".785","43"," "," ","1.9","-10"," ","0.8","0.3","-5.2","-4.1","-4.7","728"
"Cliff Pennington","OAK","SS","533.2"," ","1"," ","1","-11","-9","184","146",".794","10"," "," ","-4.4","1"," ","-0.2","-4.1","-0.3","-4.6","-10.2","3395"
"Asdrubal Cabrera","CLE","SS","870.0"," ","2"," ","0","-2","0","279","224",".803","29"," "," ","-1.5","5"," ","0.9","-8.5","2.6","-5.0","-7.1","4962"
"Jason Bartlett","TBR","SS","1153.2"," ","-4"," ","1","8","5","309","242",".783","64"," "," ","-4.6","6"," ","-4.2","1.8","-3.0","-5.4","-6.7","8219"
"Khalil Greene","STL","SS","240.1"," ","-1"," ","0","-3","-4","74","52",".703","16"," "," ","-7.6","-2"," ","-0.4","-2.7","-3.3","-6.4","-34.7","1826"
"Everth Cabrera","SDP","SS","896.2"," ","0"," ","0","-8","-8","307","229",".746","42"," "," ","-14.5","7"," ","0.9","-4.1","-6.3","-9.5","-13.1","8155"
"Miguel Tejada","HOU","SS","1371.1"," ","0"," ","1","-16","-15","469","362",".772","51"," "," ","-16.1","-3"," ","0.9","-11.3","-2.1","-12.5","-11.3","941"
"Orlando Cabrera","- - -","SS","1388.2"," ","-1"," ","2","-30","-29","439","335",".763","35"," "," ","-16.8","-8"," ","-1.6","-10.7","-0.8","-13.0","-11.7","766"
"Julio Lugo","- - -","SS","401.1"," ","-1"," ","-1","-16","-18","117","85",".727","9"," "," ","-9.7","-6"," ","-1.7","-10.1","-3.1","-15.0","-50.6","565"
"Yuniesky Betancourt","- - -","SS","1159.0"," ","1"," ","1","-20","-18","347","245",".706","39"," "," ","-23.1","-25"," ","0.4","-15.0","-2.2","-16.8","-19.9","8585"
"Geoff Blum","HOU","SS","1.0"," ","0"," ","0","0","0","0","0"," ","0"," "," ","0.0","0"," "," "," "," "," "," ","550"
"Jason Smith","HOU","SS","2.0"," ","0"," ","0","0","0","0","0"," ","0"," "," ","0.0"," "," "," "," "," "," "," ","1227"
"Tug Hulett","KCR","SS","1.0"," ","0"," ","0","0","0","0","0"," ","0"," "," ","0.0"," "," "," "," "," "," "," ","7451"
